in s,C2 in V
-2.585160E-04,1.84082E+00
-2.585128E-04,1.84082E+00
-2.585096E-04,1.85059E+00
-2.585064E-04,1.86035E+00
-2.585032E-04,1.82129E+00
-2.585000E-04,1.85059E+00
-2.584968E-04,1.84082E+00
-2.584936E-04,1.84082E+00
-2.584904E-04,1.84082E+00
-2.584872E-04,1.85059E+00
-2.584840E-04,1.86035E+00
-2.584808E-04,1.83105E+00
-2.584776E-04,1.83105E+00
-2.584744E-04,1.81152E+00
-2.584712E-04,1.83105E+00
-2.584680E-04,1.81152E+00
-2.584648E-04,1.86035E+00
-2.584616E-04,1.84082E+00
-2.584584E-04,1.83105E+00
-2.584552E-04,1.82129E+00
-2.584520E-04,1.82129E+00
-2.584488E-04,1.82129E+00
-2.584456E-04,1.82129E+00
-2.584424E-04,1.83105E+00
-2.584392E-04,1.85059E+00
-2.584360E-04,1.83105E+00
-2.584328E-04,1.83105E+00
-2.584296E-04,1.85059E+00
-2.584264E-04,1.80176E+00
-2.584232E-04,1.82129E+00
-2.584200E-04,1.83105E+00
-2.584168E-04,1.80176E+00
-2.584136E-04,1.84082E+00
-2.584104E-04,1.83105E+00
-2.584072E-04,1.82129E+00
-2.584040E-04,1.79199E+00
-2.584008E-04,1.82129E+00
-2.583976E-04,1.84082E+00
-2.583944E-04,1.84082E+00
-2.583912E-04,1.83105E+00
-2.583880E-04,1.80176E+00
-2.583848E-04,1.84082E+00
-2.583816E-04,1.82129E+00
-2.583784E-04,1.83105E+00
-2.583752E-04,1.80176E+00
-2.583720E-04,1.84082E+00
-2.583688E-04,1.81152E+00
-2.583656E-04,1.77246E+00
-2.583624E-04,1.85059E+00
-2.583592E-04,1.85059E+00
-2.583560E-04,1.79199E+00
-2.583528E-04,1.85059E+00
-2.583496E-04,1.81152E+00
-2.583464E-04,1.87012E+00
-2.583432E-04,1.84082E+00
-2.583400E-04,1.82129E+00
-2.583368E-04,1.83105E+00
-2.583336E-04,1.83105E+00
-2.583304E-04,1.80176E+00
-2.583272E-04,1.84082E+00
-2.583240E-04,1.83105E+00
-2.583208E-04,1.82129E+00
-2.583176E-04,1.84082E+00
-2.583144E-04,1.83105E+00
-2.583112E-04,1.83105E+00
-2.583080E-04,1.82129E+00
-2.583048E-04,1.82129E+00
-2.583016E-04,1.79199E+00
-2.582984E-04,1.82129E+00
-2.582952E-04,1.79199E+00
-2.582920E-04,1.83105E+00
-2.582888E-04,1.83105E+00
-2.582856E-04,1.82129E+00
-2.582824E-04,1.83105E+00
-2.582792E-04,1.83105E+00
-2.582760E-04,1.83105E+00
-2.582728E-04,1.81152E+00
-2.582696E-04,1.84082E+00
-2.582664E-04,1.85059E+00
-2.582632E-04,1.82129E+00
-2.582600E-04,1.80176E+00
-2.582568E-04,1.84082E+00
-2.582536E-04,1.84082E+00
-2.582504E-04,1.82129E+00
-2.582472E-04,1.85059E+00
-2.582440E-04,1.85059E+00
-2.582408E-04,1.85059E+00
-2.582376E-04,1.83105E+00
-2.582344E-04,1.81152E+00
-2.582312E-04,1.83105E+00
-2.582280E-04,1.80176E+00
-2.582248E-04,1.85059E+00
-2.582216E-04,1.83105E+00
-2.582184E-04,1.83105E+00
-2.582152E-04,1.83105E+00
-2.582120E-04,1.85059E+00
-2.582088E-04,1.82129E+00
-2.582056E-04,1.83105E+00
-2.582024E-04,1.83105E+00
-2.581992E-04,1.79199E+00
-2.581960E-04,1.81152E+00
-2.581928E-04,1.81152E+00
-2.581896E-04,1.83105E+00
-2.581864E-04,1.82129E+00
-2.581832E-04,1.87012E+00
-2.581800E-04,1.86035E+00
-2.581768E-04,1.84082E+00
-2.581736E-04,1.83105E+00
-2.581704E-04,1.82129E+00
-2.581672E-04,1.82129E+00
-2.581640E-04,1.84082E+00
-2.581608E-04,1.85059E+00
-2.581576E-04,1.84082E+00
-2.581544E-04,1.82129E+00
-2.581512E-04,1.83105E+00
-2.581480E-04,1.79199E+00
-2.581448E-04,1.79199E+00
-2.581416E-04,1.82129E+00
-2.581384E-04,1.86035E+00
-2.581352E-04,1.83105E+00
-2.581320E-04,1.85059E+00
-2.581288E-04,1.80176E+00
-2.581256E-04,1.84082E+00
-2.581224E-04,1.80176E+00
-2.581192E-04,1.79199E+00
-2.581160E-04,1.83105E+00
-2.581128E-04,1.85059E+00
-2.581096E-04,1.85059E+00
-2.581064E-04,1.83105E+00
-2.581032E-04,1.84082E+00
-2.581000E-04,1.85059E+00
-2.580968E-04,1.85059E+00
-2.580936E-04,1.83105E+00
-2.580904E-04,1.83105E+00
-2.580872E-04,1.83105E+00
-2.580840E-04,1.83105E+00
-2.580808E-04,1.83105E+00
-2.580776E-04,1.83105E+00
-2.580744E-04,1.82129E+00
-2.580712E-04,1.83105E+00
-2.580680E-04,1.82129E+00
-2.580648E-04,1.83105E+00
-2.580616E-04,1.80176E+00
-2.580584E-04,1.82129E+00
-2.580552E-04,1.80176E+00
-2.580520E-04,1.83105E+00
-2.580488E-04,1.85059E+00
-2.580456E-04,1.83105E+00
-2.580424E-04,1.82129E+00
-2.580392E-04,1.83105E+00
-2.580360E-04,1.81152E+00
-2.580328E-04,1.82129E+00
-2.580296E-04,1.83105E+00
-2.580264E-04,1.85059E+00
-2.580232E-04,1.81152E+00
-2.580200E-04,1.81152E+00
-2.580168E-04,1.84082E+00
-2.580136E-04,1.84082E+00
-2.580104E-04,1.85059E+00
-2.580072E-04,1.83105E+00
-2.580040E-04,1.80176E+00
-2.580008E-04,1.81152E+00
-2.579976E-04,1.83105E+00
-2.579944E-04,1.83105E+00
-2.579912E-04,1.86035E+00
-2.579880E-04,1.81152E+00
-2.579848E-04,1.83105E+00
-2.579816E-04,1.86035E+00
-2.579784E-04,1.84082E+00
-2.579752E-04,1.80176E+00
-2.579720E-04,1.83105E+00
-2.579688E-04,1.82129E+00
-2.579656E-04,1.85059E+00
-2.579624E-04,1.82129E+00
-2.579592E-04,1.83105E+00
-2.579560E-04,1.83105E+00
-2.579528E-04,1.81152E+00
-2.579496E-04,1.84082E+00
-2.579464E-04,1.83105E+00
-2.579432E-04,1.85059E+00
-2.579400E-04,1.82129E+00
-2.579368E-04,1.82129E+00
-2.579336E-04,1.82129E+00
-2.579304E-04,1.83105E+00
-2.579272E-04,1.83105E+00
-2.579240E-04,1.80176E+00
-2.579208E-04,1.84082E+00
-2.579176E-04,1.80176E+00
-2.579144E-04,1.83105E+00
-2.579112E-04,1.83105E+00
-2.579080E-04,1.83105E+00
-2.579048E-04,1.85059E+00
-2.579016E-04,1.80176E+00
-2.578984E-04,1.83105E+00
-2.578952E-04,1.83105E+00
-2.578920E-04,1.79199E+00
-2.578888E-04,1.81152E+00
-2.578856E-04,1.83105E+00
-2.578824E-04,1.83105E+00
-2.578792E-04,1.79199E+00
-2.578760E-04,1.81152E+00
-2.578728E-04,1.80176E+00
-2.578696E-04,1.84082E+00
-2.578664E-04,1.81152E+00
-2.578632E-04,1.84082E+00
-2.578600E-04,1.83105E+00
-2.578568E-04,1.86035E+00
-2.578536E-04,1.82129E+00
-2.578504E-04,1.80176E+00
-2.578472E-04,1.84082E+00
-2.578440E-04,1.84082E+00
-2.578408E-04,1.82129E+00
-2.578376E-04,1.83105E+00
-2.578344E-04,1.82129E+00
-2.578312E-04,1.84082E+00
-2.578280E-04,1.83105E+00
-2.578248E-04,1.79199E+00
-2.578216E-04,1.82129E+00
-2.578184E-04,1.82129E+00
-2.578152E-04,1.81152E+00
-2.578120E-04,1.85059E+00
-2.578088E-04,1.85059E+00
-2.578056E-04,1.81152E+00
-2.578024E-04,1.83105E+00
-2.577992E-04,1.84082E+00
-2.577960E-04,1.81152E+00
-2.577928E-04,1.85059E+00
-2.577896E-04,1.84082E+00
-2.577864E-04,1.77246E+00
-2.577832E-04,1.79199E+00
-2.577800E-04,1.83105E+00
-2.577768E-04,1.83105E+00
-2.577736E-04,1.83105E+00
-2.577704E-04,1.85059E+00
-2.577672E-04,1.85059E+00
-2.577640E-04,1.83105E+00
-2.577608E-04,1.83105E+00
-2.577576E-04,1.84082E+00
-2.577544E-04,1.83105E+00
-2.577512E-04,1.82129E+00
-2.577480E-04,1.83105E+00
-2.577448E-04,1.80176E+00
-2.577416E-04,1.83105E+00
-2.577384E-04,1.83105E+00
-2.577352E-04,1.84082E+00
-2.577320E-04,1.81152E+00
-2.577288E-04,1.83105E+00
-2.577256E-04,1.81152E+00
-2.577224E-04,1.82129E+00
-2.577192E-04,1.80176E+00
-2.577160E-04,1.83105E+00
-2.577128E-04,1.82129E+00
-2.577096E-04,1.83105E+00
-2.577064E-04,1.81152E+00
-2.577032E-04,1.83105E+00
-2.577000E-04,1.85059E+00
-2.576968E-04,1.80176E+00
-2.576936E-04,1.83105E+00
-2.576904E-04,1.87012E+00
-2.576872E-04,1.80176E+00
-2.576840E-04,1.85059E+00
-2.576808E-04,1.80176E+00
-2.576776E-04,1.83105E+00
-2.576744E-04,1.83105E+00
-2.576712E-04,1.84082E+00
-2.576680E-04,1.80176E+00
-2.576648E-04,1.80176E+00
-2.576616E-04,1.80176E+00
-2.576584E-04,1.85059E+00
